feature,spearman_vs_target,pearson_vs_target
LapTime (s),0.12472593391196445,0.1251058530509402
LapTime_Delta,0.12138183355430326,0.08990601438884215
Normalized_TyreLife,0.11694281520603166,0.14507264237304993
Stint,-0.08448573699584705,-0.07365010934432052
TyreLife,0.07501980764494455,0.06935007282818124
Cumulative_Degradation,0.05549672778035579,0.07233507304098638
LapNumber,-0.03689507656315961,-0.03793674696423226
RaceProgress,-0.03556892485883567,-0.03756665795058379
Position_Change,-0.01933908181616866,-0.01733265238727288
Position,-0.004136381773269069,-0.003801072369904892
